reference,title,count
22,2,ADAM Aghathe
15843,2,ADAM Baquellarii
15591,2,ADAM Everdey
41,2,ADAM Forestarii
16130,2,ADAM Joly	
15849,2,ADAM Paradisi
15850,2,ADAM Parvi de Mareyo
82,2,ADAM de Estrebayo
102,2,ADAM de Sahurs
16164,2,ADRIANUS Liebart
19145,2,AEGIDIUS Anglici 2
16455,2,AEGIDIUS Baudouyn
173,2,AEGIDIUS Cathi
16501,2,AEGIDIUS Coillonis
16173,2,AEGIDIUS Farenboult
3106,2,AEGIDIUS Herbaut
16461,2,AEGIDIUS Longatre
16462,2,AEGIDIUS Martini
191,2,AEGIDIUS Moardi
236,2,AEGIDIUS Woylen
16170,2,AEGIDIUS de Bergis
16015,2,AEGIDIUS de Busco
16456,2,AEGIDIUS de Canturane
217,2,AEGIDIUS de Croqueto
16050,2,AEGIDIUS de Fonte
16055,2,AEGIDIUS de Insulis
229,2,AEGIDIUS de Stanno
16568,2,AEGIDIUS de Truancuria
16225,4,ALANUS Grater	
16451,2,ALANUS Menarii
304,2,ALANUS de Lambalia
16497,2,ALARDUS Caronis
16430,2,ALARDUS Jonnart	
376,2,ALBERTUS Bestun
16578,2,ALBERTUS Gallerel de Loxevilla
409,2,ALBERTUS de Kalbe
16579,2,ALBERTUS de Vezilisia
427,2,ALBERTUS de Zwivel
15604,2,ALBINUS Kaermeson
444,2,ALEXANDER Cavelier
16593,2,ALEXANDER Laisie
436,2,ALEXANDER Scotus 3
501,2,ALEXANDER de Caron
16181,2,ALIARMUS Clientis
19553,2,ALPHONSUS Estêvão
549,2,ALPO
530,2,AMALRICUS
576,2,AMELIUS de Brolio
16596,2,ANCELINUS de Vitriaco 
16452,2,ANDREAS Amrissonis
642,2,ANDREAS Fritag
685,2,ANDREAS Petri de Leydis
686,2,ANDREAS Raffini
694,2,ANDREAS Simonis
695,2,ANDREAS Symonis de Prussia
15650,5,ANDREAS Vassoris
726,2,ANDREAS de Lederdam
16776,2,ANDREAS de Peestroy
16777,2,ANDREAS de Sabuleto
13157,2,ANGELUS de Saxe
789,2,ANTHONIUS Ansel
16431,2,ANTHONIUS Magni	
16432,2,ANTHONIUS Poussin
796,2,ANTHONIUS Rarel
15699,2,ANTHONIUS Solat
15567,2,ANTHONIUS Vigier
799,2,ANTHONIUS de Castro
17050,2,ANTHONIUS de Coyegheni
12737,2,ANTHONIUS de Sancto=Albino
15706,2,APOLONIUS Craye
905,2,ARNALDUS Beys de Loen
16790,2,ARNALDUS Boys de Loen
952,2,ARNALDUS Gerardi
16786,2,ARNALDUS Godefridi de Missia
993,2,ARNALDUS de Broechhusen
1022,2,ARNALDUS de Scoenhovia
15718,2,ARNULPHUS Barrois
16828,2,AUBERTUS Le Proguex
9623,2,AUGERIUS de Placeio
17407,2,BALDUINUS Ambianensis	
17408,2,BALDUINUS Anglici	
17406,2,BALDUINUS Clerici
15736,2,BALDUINUS Gaymare
1246,2,BALDUINUS Mancel
1150,2,BALDUINUS de Grutere
1207,2,BARTHOLOMAEUS Bertrandi
17341,2,BARTHOLOMAEUS Galteri
17434,2,BARTHOLOMAEUS Gosvin
1210,2,BARTHOLOMAEUS Goulionti
1216,2,BARTHOLOMAEUS Weday
17435,2,BARTHOLOMAEUS de Grimaupont
1250,2,BAVO Baert
1265,2,BENEDICTUS Olavi
17363,2,BENELINUS Mengini
1375,2,BERNARDUS Klinc
1378,2,BERNARDUS Luctit
1384,2,BERNARDUS Pistoris
17347,2,BERNARDUS Samorgna
1402,2,BERNARDUS de Asperomonte
1412,2,BERNARDUS de Embrica
22311,2,BERNARDUS de La=Fours
1234,2,BERTALDUS Bueren
22970,2,BERTRANDUS 3
17349,2,BERTRANDUS Albibach
1488,2,BERTRANDUS Quentini
15762,2,BERTRANDUS d'Aubusson
1494,2,BERTRANDUS de Beloys
17336,2,BERTRANDUS de Rivo
19323,2,BLASIUS Molino
17370,2,BOUCHARDUS Parvi
16648,2,BRANDANUS I de Castiglione
1572,2,BURCARDUS Wetzel
17447,2,BUSSARDUS de Hesche	
8540,2,CAROLUS Male=Clientis
21495,2,CAROLUS Ulphonis	
17823,2,CAROLUS de Gaucourt
1606,2,CAROLUS de Marnay
1592,2,CAROLUS de Templo
1847,2,CHRISTIANUS Hemmingi de Dacia
1636,2,CHRISTIANUS de Bourghella
17866,2,CLEMENS Morelli 
21950,2,COLINUS Le Dur
1722,2,CONRADUS Heingarter
1748,2,CONRADUS Hoeberg
1764,2,CONRADUS Schapel de Rotwil
1788,2,CONRADUS de Hallis
1792,2,CONRADUS de Lutselenborch
18091,2,CONRADUS de Munsingen
18117,2,COSMAS Raimundus
1937,2,DESIDERIUS de Creney
15968,2,DIONYSIUS Peschart
1985,2,DIONYSIUS de Querqubus
19175,2,DIONYSIUS de Soucheyo
12708,2,DROCO Mathei
19147,2,DURANDUS Agulhierii
2225,2,EBRARDUS Alferdi de Campis
19419,2,EBRARDUS Bummel
19413,2,EGBERTUS de Embrica
2096,2,ELIAS d'Angoulême
19690,2,ELIAS de Tyla
2128,2,ENGELBERTUS Institoris
19711,2,ENGELBERTUS de Ostenwolde	
2146,2,ERGNAUDUS Quenini
19604,2,ERNALDUS Goupil
19403,2,EUGENIUS Labitte
19401,2,EUSTASIUS Billot
17388,2,EVENUS Kermenec
2233,2,EWALDUS Bolbericz
19596,2,EZECHIEL de Dulcemesnilo
2253,2,FERRICUS Metensis
2255,2,FERRICUS de Mes
19769,2,FLORENTIUS Brunelli
2295,2,FRANCISCUS Crescentii
19774,2,FRANCISCUS Goufrois
2328,2,FRANCISCUS Magnini
19408,2,FRANCISCUS Mulenbeke
17419,2,FRANCISCUS de Carnillione
17442,2,FRANCISCUS de Valle
17437,2,FRANCO Alpont
2378,2,FREDERICUS Sutoris
2409,2,G. Bye
17462,2,GALCHERUS de Treveris
13225,2,GALFREDUS Coclearis
2586,2,GALFREDUS Wipfelt
17468,2,GALFREDUS de Veterivilla
2626,2,GALTERIUS Beliart
12259,2,GARNERIUS de Austria
12257,2,GARNERIUS de Suevia
2694,2,GEORGIUS Coltmayer de Feringhen
2729,2,GEORGIUS Zaech
13232,2,GERARDUS Feuleti de Salinis
3009,2,GERARDUS Muchart de Aquis
12381,2,GERARDUS Pillich
2847,2,GERARDUS Scutthen
13236,2,GERARDUS Tilmannus
17577,2,GERARDUS de Otheyo
17605,2,GERMANUS Regnart
3088,2,GILBERTUS de Grenlaw
